Date,Region,Service_Category,Total_Requests,Online_Requests,Offline_Requests,Successful_Requests,Failed_Requests,Avg_Response_Time_sec,Customer_Satisfaction_Score
2025-01-01,Baku,E-Government,152,127,25,132,20,4.62,4.4
2025-01-01,Baku,Digital ID,171,110,61,146,25,4.96,4.4
2025-01-01,Baku,Online Payments,201,159,42,172,29,4.39,4.91
2025-01-01,Baku,Business Registration,179,117,62,156,23,2.72,4.29
2025-01-01,Baku,Citizen Portal,285,172,113,261,24,3.1,3.57
2025-01-01,Ganja,E-Government,237,168,69,215,22,4.64,3.8
2025-01-01,Ganja,Digital ID,104,93,11,94,10,4.94,4.52
2025-01-01,Ganja,Online Payments,122,75,47,118,4,5.36,4.71
2025-01-01,Ganja,Business Registration,58,35,23,51,7,2.46,4.52
2025-01-01,Ganja,Citizen Portal,221,165,56,188,33,5.14,3.89
2025-01-01,Sumgait,E-Government,153,126,27,138,15,2.33,4.35
2025-01-01,Sumgait,Digital ID,270,240,30,256,14,5.26,4.84
2025-01-01,Sumgait,Online Payments,63,51,12,56,7,3.78,4.28
2025-01-01,Sumgait,Business Registration,239,166,73,215,24,2.59,4.74
2025-01-01,Sumgait,Citizen Portal,203,180,23,188,15,2.6,3.94
2025-01-01,Lankaran,E-Government,94,58,36,91,3,4.59,3.8
2025-01-01,Lankaran,Digital ID,265,160,105,232,33,4.35,4.69
2025-01-01,Lankaran,Online Payments,172,107,65,154,18,1.96,4.79
2025-01-01,Lankaran,Business Registration,121,88,33,104,17,2.98,4.5
2025-01-01,Lankaran,Citizen Portal,86,70,16,80,6,5.05,4.21
2025-01-01,Shaki,E-Government,150,133,17,144,6,4.39,3.85
2025-01-01,Shaki,Digital ID,191,142,49,175,16,3.21,3.54
2025-01-01,Shaki,Online Payments,254,167,87,245,9,3.4,4.34
2025-01-01,Shaki,Business Registration,181,157,24,159,22,3.14,4.63
2025-01-01,Shaki,Citizen Portal,85,75,10,78,7,4.28,4.82
2025-01-01,Nakhchivan,E-Government,219,184,35,204,15,4.99,4.71
2025-01-01,Nakhchivan,Digital ID,93,67,26,89,4,2.8,3.68
2025-01-01,Nakhchivan,Online Payments,266,184,82,229,37,2.41,4.14
2025-01-01,Nakhchivan,Business Registration,165,116,49,146,19,2.16,4.3
2025-01-01,Nakhchivan,Citizen Portal,111,73,38,96,15,2.85,4.91
2025-01-02,Baku,E-Government,167,111,56,154,13,3.12,3.6
2025-01-02,Baku,Digital ID,235,208,27,207,28,3.49,3.95
2025-01-02,Baku,Online Payments,162,145,17,143,19,5.41,4.12
2025-01-02,Baku,Business Registration,136,92,44,131,5,2.46,3.72
2025-01-02,Baku,Citizen Portal,221,162,59,203,18,3.87,3.62
2025-01-02,Ganja,E-Government,233,156,77,220,13,2.97,4.45
2025-01-02,Ganja,Digital ID,247,177,70,236,11,4.69,3.73
2025-01-02,Ganja,Online Payments,236,154,82,201,35,3.86,4.52
2025-01-02,Ganja,Business Registration,196,159,37,187,9,2.89,3.64
2025-01-02,Ganja,Citizen Portal,282,227,55,253,29,5.25,3.71
2025-01-02,Sumgait,E-Government,269,220,49,235,34,3.67,4.54
2025-01-02,Sumgait,Digital ID,56,44,12,53,3,3.72,4.29
2025-01-02,Sumgait,Online Payments,51,45,6,49,2,3.73,4.82
2025-01-02,Sumgait,Business Registration,296,207,89,265,31,4.4,4.85
2025-01-02,Sumgait,Citizen Portal,201,144,57,194,7,4.9,4.9
2025-01-02,Lankaran,E-Government,213,185,28,197,16,1.54,3.65
2025-01-02,Lankaran,Digital ID,148,132,16,131,17,2.72,4.23
2025-01-02,Lankaran,Online Payments,212,168,44,186,26,4.35,3.86
2025-01-02,Lankaran,Business Registration,70,45,25,62,8,4.48,4.58
2025-01-02,Lankaran,Citizen Portal,177,136,41,152,25,2.97,3.9
2025-01-02,Shaki,E-Government,287,222,65,280,7,3.45,4.86
2025-01-02,Shaki,Digital ID,76,63,13,69,7,3.81,4.24
2025-01-02,Shaki,Online Payments,246,164,82,225,21,3.79,4.65
2025-01-02,Shaki,Business Registration,66,59,7,60,6,2.62,4.83
2025-01-02,Shaki,Citizen Portal,173,104,69,167,6,3.21,4.95
2025-01-02,Nakhchivan,E-Government,148,132,16,127,21,2.72,3.79
2025-01-02,Nakhchivan,Digital ID,210,145,65,183,27,3.73,4.9
2025-01-02,Nakhchivan,Online Payments,107,94,13,91,16,2.34,4.51
2025-01-02,Nakhchivan,Business Registration,200,128,72,183,17,5.01,4.61
2025-01-02,Nakhchivan,Citizen Portal,210,134,76,197,13,3.71,3.94
2025-01-03,Baku,E-Government,75,63,12,72,3,5.15,4.27
2025-01-03,Baku,Digital ID,106,83,23,92,14,1.78,4.1
2025-01-03,Baku,Online Payments,191,165,26,170,21,3.0,3.64
2025-01-03,Baku,Business Registration,264,211,53,235,29,2.12,4.97
2025-01-03,Baku,Citizen Portal,199,154,45,169,30,1.65,4.73
2025-01-03,Ganja,E-Government,103,78,25,91,12,4.81,3.91
2025-01-03,Ganja,Digital ID,157,123,34,135,22,1.71,4.3
2025-01-03,Ganja,Online Payments,96,77,19,83,13,2.03,4.95
2025-01-03,Ganja,Business Registration,155,108,47,147,8,2.58,4.16
2025-01-03,Ganja,Citizen Portal,232,156,76,202,30,1.82,4.14
2025-01-03,Sumgait,E-Government,189,136,53,164,25,2.13,3.88
2025-01-03,Sumgait,Digital ID,175,109,66,152,23,5.24,4.46
2025-01-03,Sumgait,Online Payments,238,195,43,219,19,3.95,4.13
2025-01-03,Sumgait,Business Registration,125,96,29,108,17,1.98,4.01
